index,score,params,iteration
14,100,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.0301010101010101), 'sift_edgeThreshold': np.float64(11.464646464646464), 'sift_sigma': np.float64(0.6383838383838384), 'min_match_count': 46, 'good_matches_threshold': np.float64(0.793939393939394), 'mask_scale': 1}",14
111,100,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.05393939393939394), 'sift_edgeThreshold': np.float64(11.565656565656566), 'sift_sigma': np.float64(0.5333333333333333), 'min_match_count': 52, 'good_matches_threshold': np.float64(0.803030303030303), 'mask_scale': 1}",111
0,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.0503030303030303), 'sift_edgeThreshold': np.float64(8.535353535353536), 'sift_sigma': np.float64(0.7232323232323232), 'min_match_count': 45, 'good_matches_threshold': np.float64(0.8333333333333334), 'mask_scale': 1}",0
193,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.051515151515151514), 'sift_edgeThreshold': np.float64(13.585858585858587), 'sift_sigma': np.float64(0.5333333333333333), 'min_match_count': 50, 'good_matches_threshold': np.float64(0.8242424242424242), 'mask_scale': 1}",193
198,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.05595959595959596), 'sift_edgeThreshold': np.float64(12.373737373737374), 'sift_sigma': np.float64(0.6101010101010101), 'min_match_count': 49, 'good_matches_threshold': np.float64(0.6363636363636364), 'mask_scale': 1}",198
197,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.0402020202020202), 'sift_edgeThreshold': np.float64(11.464646464646464), 'sift_sigma': np.float64(0.6545454545454545), 'min_match_count': 47, 'good_matches_threshold': np.float64(0.6060606060606061), 'mask_scale': 1}",197
196,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.02808080808080808), 'sift_edgeThreshold': np.float64(12.171717171717171), 'sift_sigma': np.float64(0.6383838383838384), 'min_match_count': 40, 'good_matches_threshold': np.float64(0.603030303030303), 'mask_scale': 1}",196
195,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.02484848484848485), 'sift_edgeThreshold': np.float64(6.515151515151516), 'sift_sigma': np.float64(0.698989898989899), 'min_match_count': 58, 'good_matches_threshold': np.float64(0.6727272727272727), 'mask_scale': 1}",195
194,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.05474747474747474), 'sift_edgeThreshold': np.float64(13.686868686868687), 'sift_sigma': np.float64(0.7717171717171718), 'min_match_count': 48, 'good_matches_threshold': np.float64(0.8151515151515152), 'mask_scale': 1}",194
192,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.053131313131313126), 'sift_edgeThreshold': np.float64(5.0), 'sift_sigma': np.float64(0.7151515151515151), 'min_match_count': 51, 'good_matches_threshold': np.float64(0.6787878787878787), 'mask_scale': 1}",192
201,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.04505050505050505), 'sift_edgeThreshold': np.float64(14.8989898989899), 'sift_sigma': np.float64(0.7393939393939395), 'min_match_count': 51, 'good_matches_threshold': np.float64(0.8757575757575757), 'mask_scale': 1}",201
191,75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.0507070707070707), 'sift_edgeThreshold': np.float64(6.818181818181818), 'sift_sigma': np.float64(0.7070707070707071), 'min_match_count': 49, 'good_matches_threshold': np.float64(0.6848484848484848), 'mask_scale': 1}",191
