score,params,iteration
100,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.055151515151515146), 'sift_edgeThreshold': np.float64(11.666666666666668), 'sift_sigma': np.float64(0.5575757575757576), 'min_match_count': 48, 'good_matches_threshold': np.float64(0.806060606060606), 'mask_scale': 1}",311
100,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.02), 'sift_edgeThreshold': np.float64(12.878787878787879), 'sift_sigma': np.float64(0.602020202020202), 'min_match_count': 42, 'good_matches_threshold': np.float64(0.8393939393939394), 'mask_scale': 1}",111
100,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.027676767676767675), 'sift_edgeThreshold': np.float64(6.717171717171717), 'sift_sigma': np.float64(0.698989898989899), 'min_match_count': 47, 'good_matches_threshold': np.float64(0.796969696969697), 'mask_scale': 1}",176
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.03777777777777777), 'sift_edgeThreshold': np.float64(10.353535353535353), 'sift_sigma': np.float64(0.7111111111111111), 'min_match_count': 44, 'good_matches_threshold': np.float64(0.8333333333333334), 'mask_scale': 1}",238
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.0402020202020202), 'sift_edgeThreshold': np.float64(9.444444444444445), 'sift_sigma': np.float64(0.7151515151515151), 'min_match_count': 56, 'good_matches_threshold': np.float64(0.8818181818181818), 'mask_scale': 1}",277
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.032929292929292926), 'sift_edgeThreshold': np.float64(14.191919191919192), 'sift_sigma': np.float64(0.7515151515151515), 'min_match_count': 41, 'good_matches_threshold': np.float64(0.6757575757575758), 'mask_scale': 1}",236
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.023232323232323233), 'sift_edgeThreshold': np.float64(14.191919191919192), 'sift_sigma': np.float64(0.48888888888888893), 'min_match_count': 54, 'good_matches_threshold': np.float64(0.6363636363636364), 'mask_scale': 1}",234
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.0507070707070707), 'sift_edgeThreshold': np.float64(13.98989898989899), 'sift_sigma': np.float64(0.4808080808080808), 'min_match_count': 48, 'good_matches_threshold': np.float64(0.8515151515151516), 'mask_scale': 1}",233
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.059191919191919184), 'sift_edgeThreshold': np.float64(5.0), 'sift_sigma': np.float64(0.46060606060606063), 'min_match_count': 45, 'good_matches_threshold': np.float64(0.7121212121212122), 'mask_scale': 1}",184
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.028484848484848484), 'sift_edgeThreshold': np.float64(9.444444444444445), 'sift_sigma': np.float64(0.5494949494949495), 'min_match_count': 59, 'good_matches_threshold': np.float64(0.8424242424242424), 'mask_scale': 1}",183
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.03898989898989899), 'sift_edgeThreshold': np.float64(5.707070707070707), 'sift_sigma': np.float64(0.4767676767676768), 'min_match_count': 54, 'good_matches_threshold': np.float64(0.6272727272727272), 'mask_scale': 1}",182
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.038585858585858585), 'sift_edgeThreshold': np.float64(12.575757575757574), 'sift_sigma': np.float64(0.7838383838383838), 'min_match_count': 51, 'good_matches_threshold': np.float64(0.6606060606060606), 'mask_scale': 1}",237
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.05959595959595959), 'sift_edgeThreshold': np.float64(5.606060606060606), 'sift_sigma': np.float64(0.8), 'min_match_count': 42, 'good_matches_threshold': np.float64(0.6666666666666666), 'mask_scale': 1}",181
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.051515151515151514), 'sift_edgeThreshold': np.float64(8.535353535353536), 'sift_sigma': np.float64(0.7353535353535354), 'min_match_count': 55, 'good_matches_threshold': np.float64(0.7121212121212122), 'mask_scale': 1}",180
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.0507070707070707), 'sift_edgeThreshold': np.float64(5.808080808080808), 'sift_sigma': np.float64(0.45252525252525255), 'min_match_count': 41, 'good_matches_threshold': np.float64(0.6878787878787879), 'mask_scale': 1}",228
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.02727272727272727), 'sift_edgeThreshold': np.float64(12.777777777777779), 'sift_sigma': np.float64(0.5252525252525253), 'min_match_count': 59, 'good_matches_threshold': np.float64(0.7393939393939394), 'mask_scale': 1}",227
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.03898989898989899), 'sift_edgeThreshold': np.float64(6.01010101010101), 'sift_sigma': np.float64(0.6383838383838384), 'min_match_count': 46, 'good_matches_threshold': np.float64(0.8212121212121213), 'mask_scale': 1}",226
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.05474747474747474), 'sift_edgeThreshold': np.float64(11.969696969696969), 'sift_sigma': np.float64(0.7393939393939395), 'min_match_count': 49, 'good_matches_threshold': np.float64(0.6242424242424243), 'mask_scale': 1}",225
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.021212121212121213), 'sift_edgeThreshold': np.float64(8.030303030303031), 'sift_sigma': np.float64(0.5818181818181818), 'min_match_count': 45, 'good_matches_threshold': np.float64(0.8696969696969696), 'mask_scale': 1}",240
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.047474747474747475), 'sift_edgeThreshold': np.float64(14.393939393939394), 'sift_sigma': np.float64(0.7757575757575758), 'min_match_count': 54, 'good_matches_threshold': np.float64(0.8484848484848485), 'mask_scale': 1}",239
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 4, 'sift_contrastThreshold': np.float64(0.028888888888888888), 'sift_edgeThreshold': np.float64(12.878787878787879), 'sift_sigma': np.float64(0.5616161616161617), 'min_match_count': 58, 'good_matches_threshold': np.float64(0.8212121212121213), 'mask_scale': 1}",294
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.03979797979797979), 'sift_edgeThreshold': np.float64(9.141414141414142), 'sift_sigma': np.float64(0.45252525252525255), 'min_match_count': 49, 'good_matches_threshold': np.float64(0.806060606060606), 'mask_scale': 1}",293
75,"{'sift_nfeatures': 0, 'sift_nOctaveLayers': 3, 'sift_contrastThreshold': np.float64(0.043434343434343436), 'sift_edgeThreshold': np.float64(10.858585858585858), 'sift_sigma': np.float64(0.5818181818181818), 'min_match_count': 55, 'good_matches_threshold': np.float64(0.6424242424242425), 'mask_scale': 1}",291
