score,iteration,sift_nOctaveLayers,sift_sigma,min_match_count,sift_contrastThreshold,sift_edgeThreshold,good_matches_threshold,ransac
100,382,7,1.0,40,0.035,9,0.72,3.5
100,371,7,1.0,38,0.045,10,0.72,4.0
100,377,7,1.0,38,0.045,11,0.72,4.0
100,376,7,1.0,38,0.045,11,0.72,3.5
100,370,7,1.0,38,0.045,10,0.72,3.5
100,340,7,1.0,38,0.035,11,0.72,3.5
100,227,7,0.9,40,0.035,10,0.72,4.0
100,232,7,0.9,40,0.035,11,0.72,3.5
100,179,7,0.9,38,0.035,11,0.72,4.0
100,184,7,0.9,38,0.04,9,0.72,3.5
100,185,7,0.9,38,0.04,9,0.72,4.0
100,197,7,0.9,38,0.04,11,0.72,4.0
100,388,7,1.0,40,0.035,10,0.72,3.5
100,395,7,1.0,40,0.035,11,0.72,4.0
100,407,7,1.0,40,0.04,10,0.72,4.0
100,167,7,0.9,38,0.035,9,0.72,4.0
100,394,7,1.0,40,0.035,11,0.72,3.5
100,389,7,1.0,40,0.035,10,0.72,4.0
100,214,7,0.9,38,0.045,11,0.72,3.5
100,172,7,0.9,38,0.035,10,0.72,3.5
100,178,7,0.9,38,0.035,11,0.72,3.5
100,173,7,0.9,38,0.035,10,0.72,4.0
100,190,7,0.9,38,0.04,10,0.72,3.5
100,166,7,0.9,38,0.035,9,0.72,3.5
100,286,7,0.9,42,0.035,11,0.72,3.5
100,287,7,0.9,42,0.035,11,0.72,4.0
100,329,7,1.0,38,0.035,9,0.72,4.0
100,328,7,1.0,38,0.035,9,0.72,3.5
100,334,7,1.0,38,0.035,10,0.72,3.5
100,335,7,1.0,38,0.035,10,0.72,4.0
100,346,7,1.0,38,0.04,9,0.72,3.5
100,341,7,1.0,38,0.035,11,0.72,4.0
98,383,7,1.0,40,0.035,9,0.72,4.0
95,191,7,0.9,38,0.04,10,0.72,4.0
91,364,7,1.0,38,0.045,9,0.72,3.5
88,196,7,0.9,38,0.04,11,0.72,3.5
80,406,7,1.0,40,0.04,10,0.72,3.5
80,226,7,0.9,40,0.035,10,0.72,3.5
77,413,7,1.0,40,0.04,11,0.72,4.0
75,418,7,1.0,40,0.045,9,0.72,3.5
74,359,7,1.0,38,0.04,11,0.72,4.0
72,352,7,1.0,38,0.04,10,0.72,3.5
71,233,7,0.9,40,0.035,11,0.72,4.0
71,400,7,1.0,40,0.04,9,0.72,3.5
68,251,7,0.9,40,0.04,11,0.72,4.0
65,401,7,1.0,40,0.04,9,0.72,4.0
62,365,7,1.0,38,0.045,9,0.72,4.0
58,220,7,0.9,40,0.035,9,0.72,3.5
57,358,7,1.0,38,0.04,11,0.72,3.5
54,419,7,1.0,40,0.045,9,0.72,4.0
48,353,7,1.0,38,0.04,10,0.72,4.0
47,274,7,0.9,42,0.035,9,0.72,3.5
45,215,7,0.9,38,0.045,11,0.72,4.0
42,268,7,0.9,40,0.045,11,0.72,3.5
42,245,7,0.9,40,0.04,10,0.72,4.0
41,59,7,0.8,40,0.035,9,0.72,4.0
41,17,7,0.8,38,0.035,11,0.72,4.0
40,347,7,1.0,38,0.04,9,0.72,4.0
40,275,7,0.9,42,0.035,9,0.72,4.0
39,70,7,0.8,40,0.035,11,0.72,3.5
37,238,7,0.9,40,0.04,9,0.72,3.5
37,374,7,1.0,38,0.045,11,0.7,3.5
35,16,7,0.8,38,0.035,11,0.72,3.5
33,221,7,0.9,40,0.035,9,0.72,4.0
33,244,7,0.9,40,0.04,10,0.72,3.5
33,256,7,0.9,40,0.045,9,0.72,3.5
32,304,7,0.9,42,0.04,11,0.72,3.5
32,250,7,0.9,40,0.04,11,0.72,3.5
31,257,7,0.9,40,0.045,9,0.72,4.0
31,293,7,0.9,42,0.04,9,0.72,4.0
31,125,7,0.8,42,0.035,11,0.72,4.0
31,299,7,0.9,42,0.04,10,0.72,4.0
31,239,7,0.9,40,0.04,9,0.72,4.0
30,64,7,0.8,40,0.035,10,0.72,3.5
29,71,7,0.8,40,0.035,11,0.72,4.0
29,298,7,0.9,42,0.04,10,0.72,3.5
28,412,7,1.0,40,0.04,11,0.72,3.5
27,305,7,0.9,42,0.04,11,0.72,4.0
27,5,7,0.8,38,0.035,9,0.72,4.0
25,11,7,0.8,38,0.035,10,0.72,4.0
24,292,7,0.9,42,0.04,9,0.72,3.5
24,202,7,0.9,38,0.045,9,0.72,3.5
23,124,7,0.8,42,0.035,11,0.72,3.5
22,10,7,0.8,38,0.035,10,0.72,3.5
22,316,7,0.9,42,0.045,10,0.72,3.5
21,88,7,0.8,40,0.04,11,0.72,3.5
21,208,7,0.9,38,0.045,10,0.72,3.5
20,203,7,0.9,38,0.045,9,0.72,4.0
20,4,7,0.8,38,0.035,9,0.72,3.5
20,58,7,0.8,40,0.035,9,0.72,3.5
20,23,7,0.8,38,0.04,9,0.72,4.0
19,280,7,0.9,42,0.035,10,0.72,3.5
19,65,7,0.8,40,0.035,10,0.72,4.0
19,269,7,0.9,40,0.045,11,0.72,4.0
19,34,7,0.8,38,0.04,11,0.72,3.5
19,29,7,0.8,38,0.04,10,0.72,4.0
18,281,7,0.9,42,0.035,10,0.72,4.0
17,142,7,0.8,42,0.04,11,0.72,3.5
17,368,7,1.0,38,0.045,10,0.7,3.5
