score,iteration,sift_nOctaveLayers,sift_sigma,min_match_count,sift_contrastThreshold,sift_edgeThreshold,good_matches_threshold,ransac_reproj_threshold
71,298,9,1.0,35,0.04,11,0.7,4.5
31,151,8,0.9,35,0.04,10,0.7,5.0
31,288,9,1.0,35,0.04,9,0.7,3.5
30,145,8,0.9,35,0.04,9,0.7,4.0
28,296,9,1.0,35,0.04,11,0.7,3.5
27,76,7,1.0,35,0.04,10,0.7,3.5
19,219,9,0.8,35,0.04,9,0.7,5.0
19,297,9,1.0,35,0.04,11,0.7,4.0
18,155,8,0.9,35,0.04,11,0.7,5.0
18,299,9,1.0,35,0.04,11,0.7,5.0
18,78,7,1.0,35,0.04,10,0.7,4.5
18,185,8,1.0,35,0.04,10,0.7,4.0
17,46,7,0.9,35,0.04,11,0.7,4.5
17,187,8,1.0,35,0.04,10,0.7,5.0
17,115,8,0.8,35,0.04,10,0.7,5.0
17,109,8,0.8,35,0.04,9,0.7,4.0
17,148,8,0.9,35,0.04,10,0.7,3.5
16,149,8,0.9,35,0.04,10,0.7,4.0
16,116,8,0.8,35,0.04,11,0.7,3.5
16,153,8,0.9,35,0.04,11,0.7,4.0
16,152,8,0.9,35,0.04,11,0.7,3.5
15,256,9,0.9,35,0.04,10,0.7,3.5
15,188,8,1.0,35,0.04,11,0.7,3.5
15,263,9,0.9,35,0.04,11,0.7,5.0
15,259,9,0.9,35,0.04,10,0.7,5.0
14,311,9,1.0,40,0.04,11,0.7,5.0
14,100,7,1.0,45,0.04,10,0.7,3.5
14,81,7,1.0,35,0.04,11,0.7,4.0
14,262,9,0.9,35,0.04,11,0.7,4.5
14,190,8,1.0,35,0.04,11,0.7,4.5
14,214,8,1.0,45,0.04,11,0.7,4.5
14,191,8,1.0,35,0.04,11,0.7,5.0
13,226,9,0.8,35,0.04,11,0.7,4.5
13,37,7,0.9,35,0.04,9,0.7,4.0
13,62,7,0.9,45,0.04,9,0.7,4.5
13,146,8,0.9,35,0.04,9,0.7,4.5
13,295,9,1.0,35,0.04,10,0.7,5.0
13,60,7,0.9,45,0.04,9,0.7,3.5
13,217,9,0.8,35,0.04,9,0.7,4.0
13,200,8,1.0,40,0.04,11,0.7,3.5
13,47,7,0.9,35,0.04,11,0.7,5.0
13,150,8,0.9,35,0.04,10,0.7,4.5
13,147,8,0.9,35,0.04,9,0.7,5.0
12,107,7,1.0,45,0.04,11,0.7,5.0
12,189,8,1.0,35,0.04,11,0.7,4.0
12,114,8,0.8,35,0.04,10,0.7,4.5
12,119,8,0.8,35,0.04,11,0.7,5.0
12,30,7,0.8,45,0.04,10,0.7,4.5
12,25,7,0.8,45,0.04,9,0.7,4.0
12,293,9,1.0,35,0.04,10,0.7,4.0
12,289,9,1.0,35,0.04,9,0.7,4.0
12,183,8,1.0,35,0.04,9,0.7,5.0
12,203,8,1.0,40,0.04,11,0.7,5.0
12,306,9,1.0,40,0.04,10,0.7,4.5
12,8,7,0.8,35,0.04,11,0.7,3.5
12,98,7,1.0,45,0.04,9,0.7,4.5
12,111,8,0.8,35,0.04,9,0.7,5.0
12,72,7,1.0,35,0.04,9,0.7,3.5
12,186,8,1.0,35,0.04,10,0.7,4.5
12,252,9,0.9,35,0.04,9,0.7,3.5
12,261,9,0.9,35,0.04,11,0.7,4.0
12,96,7,1.0,45,0.04,9,0.7,3.5
12,80,7,1.0,35,0.04,11,0.7,3.5
12,63,7,0.9,45,0.04,9,0.7,5.0
12,258,9,0.9,35,0.04,10,0.7,4.5
12,260,9,0.9,35,0.04,11,0.7,3.5
11,321,9,1.0,45,0.04,11,0.7,4.0
11,227,9,0.8,35,0.04,11,0.7,5.0
11,26,7,0.8,45,0.04,9,0.7,4.5
11,3,7,0.8,35,0.04,9,0.7,5.0
11,110,8,0.8,35,0.04,9,0.7,4.5
11,291,9,1.0,35,0.04,9,0.7,5.0
11,310,9,1.0,40,0.04,11,0.7,4.5
11,29,7,0.8,45,0.04,10,0.7,4.0
11,318,9,1.0,45,0.04,10,0.7,4.5
11,101,7,1.0,45,0.04,10,0.7,4.0
11,97,7,1.0,45,0.04,9,0.7,4.0
